gender_male,height,weight,age,bmi,bsa,front_shoulder_width_px_ratio,front_chest_width_px_ratio,front_waist_width_px_ratio,front_hip_width_px_ratio,front_arm_length_px_ratio,front_torso_length_px_ratio,front_leg_length_px_ratio,side_chest_depth_px_ratio,side_waist_depth_px_ratio,side_hip_depth_px_ratio,side_thigh_depth_px_ratio,side_neck_depth_px_ratio,target_chest,target_waist,target_hip,target_shoulderWidth,target_neck,target_upperArm,target_armLength,target_wrist,target_thigh,target_inseam,target_outseam,target_torsoLength,target_height
1,179.2,87.6,57,27.26,2.088,0.25778,0.19803,0.19607,0.2149,0.3217,0.37044,0.59465,0.16832,0.12787,0.17583,0.04448,0.06963,113.3,97.6,111.8,47.0,44.3,28.9,58.6,18.6,26.8,79.9,108.3,67.5,179.2
1,174.5,88.1,18,28.94,2.066,0.26304,0.18608,0.19008,0.20161,0.32725,0.37684,0.60492,0.15817,0.12396,0.16496,0.04137,0.07111,105.1,93.3,103.5,47.3,44.6,28.2,58.8,18.7,24.6,80.2,108.7,67.7,174.5
1,180.4,77.5,21,23.81,1.97,0.2545,0.17539,0.18019,0.19063,0.3212,0.36987,0.59374,0.14908,0.11752,0.15597,0.03767,0.06853,101.2,90.4,100.0,46.7,43.9,26.2,59.0,18.6,22.9,80.4,109.0,67.9,180.4
1,186.9,79.8,47,22.83,2.035,0.25035,0.18282,0.19414,0.19894,0.31612,0.36402,0.58434,0.15539,0.12661,0.16277,0.04146,0.0674,107.3,99.1,106.2,46.8,44.0,28.0,59.1,18.7,25.6,80.6,109.2,68.0,186.9
1,173.7,64.2,29,21.27,1.76,0.2622,0.1832,0.18677,0.19919,0.33476,0.38548,0.6188,0.15572,0.12181,0.16298,0.04022,0.07038,101.1,89.6,99.9,46.1,43.2,26.1,58.8,18.5,23.4,80.2,108.7,67.7,173.7
1,173.7,66.8,52,22.11,1.795,0.26656,0.18864,0.18719,0.20502,0.33935,0.39077,0.62729,0.16034,0.12208,0.16774,0.0404,0.0716,101.6,87.7,100.4,45.7,42.8,25.6,58.2,18.3,22.9,79.3,107.5,67.0,173.7
1,187.3,136.7,30,38.95,2.667,0.28039,0.20895,0.23979,0.22635,0.33466,0.38537,0.61862,0.17761,0.15638,0.18519,0.05498,0.07664,123.4,123.1,121.5,52.7,50.3,37.9,62.9,20.5,34.2,85.8,116.3,72.4,187.3
1,181.3,99.1,69,30.17,2.234,0.25676,0.19893,0.203,0.21573,0.31694,0.36496,0.58586,0.16909,0.13239,0.1765,0.0456,0.06956,113.8,101.0,112.2,46.8,44.2,30.2,57.7,18.4,27.5,78.7,106.7,66.5,181.3
1,172.0,60.4,48,20.44,1.699,0.26409,0.16654,0.1789,0.18114,0.33835,0.38961,0.62543,0.14156,0.11667,0.1482,0.03566,0.07081,90.4,84.5,89.4,45.6,42.7,24.6,58.5,18.3,20.4,79.7,108.1,67.3,172.0
1,179.6,66.2,55,20.52,1.817,0.25406,0.18115,0.18822,0.19715,0.32442,0.37357,0.59968,0.15398,0.12275,0.1613,0.04001,0.06819,102.3,92.5,101.3,45.7,42.8,26.3,58.3,18.3,23.8,79.6,107.8,67.2,179.6
1,172.0,79.6,60,26.9,1.95,0.25882,0.19285,0.1943,0.20905,0.32459,0.37377,0.59999,0.16393,0.12672,0.17104,0.04279,0.06982,104.9,91.9,103.4,44.8,42.2,27.7,56.2,17.8,24.5,76.6,103.9,64.7,172.0
1,172.0,80.4,40,27.17,1.96,0.25635,0.18248,0.1953,0.19778,0.32121,0.36987,0.59375,0.15511,0.12737,0.16182,0.04148,0.06916,99.9,93.0,98.4,44.7,42.1,28.1,56.0,17.8,23.9,76.3,103.4,64.4,172.0
